File_Number,Count,Percentage
15,2270,100.00%
301,2270,100.00%
760,2270,100.00%
805,2270,100.00%
477,2270,100.00%
288,2210,97.36%
259,2270,100.00%
638,2270,100.00%
69,2257,99.43%
306,2270,100.00%
767,2270,100.00%
470,2270,100.00%
802,2270,100.00%
149,2270,100.00%
528,2270,100.00%
198,925,40.75%
135,2270,100.00%
692,2270,100.00%
926,2267,99.87%
554,2270,100.00%
585,2270,100.00%
222,2270,100.00%
12,2270,100.00%
643,2270,100.00%
