File_Number,Count,Percentage,Alleles
477,0,0.00,1
288,2270,100.00,1
259,0,0.00,1
638,2270,100.00,1
69,0,0.00,1
306,2270,100.00,1
767,0,0.00,1
470,0,0.00,1
802,2270,100.00,1
149,0,0.00,1
528,0,0.00,1
198,2270,100.00,1
135,0,0.00,1
692,0,0.00,1
926,2270,100.00,1
554,2270,100.00,1
585,0,0.00,1
222,2270,100.00,1
12,0,0.00,1
643,0,0.00,1
